scientific name,English name,number of people seeing species
Tachybaptus rufolavatus,Alaotra Grebe,0
Tachybaptus ruficollis,Little Grebe,34
Tachybaptus novaehollandiae,Australasian Grebe,11
Tachybaptus pelzelnii,Madagascar Grebe,0
Tachybaptus dominicus,Least Grebe,40
Podilymbus podiceps,Pied-billed Grebe,57
Podilymbus gigas,Atitlan Grebe,0
Poliocephalus poliocephalus,Hoary-headed Grebe,8
Poliocephalus rufopectus,New Zealand Grebe,1
Podiceps major,Great Grebe,7
Podiceps auritus,Horned Grebe,56
Podiceps grisegena,Red-necked Grebe,54
Podiceps cristatus,Great Crested Grebe,35
Podiceps nigricollis,Eared Grebe,50
Podiceps andinus,Colombian Grebe,0
Podiceps occipitalis,Silvery Grebe,4
Podiceps taczanowskii,Junin Grebe,1
Podiceps gallardoi,Hooded Grebe,0
Aechmophorus occidentalis,Western Grebe,48
Aechmophorus clarkii,Clark's Grebe,42
Columba livia,Rock Pigeon,60
Columba rupestris,Hill Pigeon,4
Columba leuconota,Snow Pigeon,4
Columba guinea,Speckled Pigeon,14
Columba albitorques,White-collared Pigeon,4
Columba oenas,Stock Dove,18
Columba eversmanni,Pale-backed Pigeon,0
Columba oliviae,Somali Pigeon,0
Columba palumbus,Common Wood-Pigeon,32
Columba trocaz,Trocaz Pigeon,0
Columba bollii,Bolle's Pigeon,1
Columba unicincta,Afep Pigeon,2
Columba junoniae,Laurel Pigeon,1
Columba arquatrix,Rameron Pigeon,11
Columba sjostedti,Cameroon Pigeon,2
Columba thomensis,Maroon Pigeon,0
Columba delegorguei,Delegorgue's Pigeon,2
Columba iriditorques,Bronze-naped Pigeon,2
Columba malherbii,Sao Tome Pigeon,1
Columba larvata,Lemon Dove,5
Columba pollenii,Comoro Pigeon,0
Columba hodgsonii,Speckled Wood-Pigeon,1
Columba albinucha,White-naped Pigeon,0
Columba pulchricollis,Ashy Wood-Pigeon,3
Columba elphinstonii,Nilgiri Wood-Pigeon,0
Columba torringtoniae,Sri Lanka Wood-Pigeon,2
Columba punicea,Pale-capped Pigeon,0
Columba argentina,Silvery Wood-Pigeon,0
Columba palumboides,Andaman Wood-Pigeon,1
Columba janthina,Japanese Wood-Pigeon,0
Columba jouyi,Ryukyu Pigeon,0
Columba versicolor,Bonin Pigeon,0
Columba vitiensis,Metallic Pigeon,2
Columba leucomela,White-headed Pigeon,8
Columba pallidiceps,Yellow-legged Pigeon,0
Patagioenas cayennensis,Pale-vented Pigeon,27
Patagioenas speciosa,Scaled Pigeon,22
Patagioenas squamosa,Scaly-naped Pigeon,12
Patagioenas picazuro,Picazuro Pigeon,4
Patagioenas corensis,Bare-eyed Pigeon,3
Patagioenas maculosa,Spot-winged Pigeon,5
Patagioenas leucocephala,White-crowned Pigeon,29
Patagioenas flavirostris,Red-billed Pigeon,28
Patagioenas inornata,Plain Pigeon,3
Patagioenas fasciata,Band-tailed Pigeon,43
Patagioenas araucana,Chilean Pigeon,3
Patagioenas caribaea,Ring-tailed Pigeon,1
Patagioenas oenops,Peruvian Pigeon,1
Patagioenas plumbea,Plumbeous Pigeon,8
Patagioenas subvinacea,Ruddy Pigeon,21
Patagioenas nigrirostris,Short-billed Pigeon,24
Patagioenas goodsoni,Dusky Pigeon,5
Ectopistes migratorius,Passenger Pigeon,0
